FL_DATE,AIRLINE,FL_NUMBER,ORIGIN,DEST,CRS_DEP_TIME,Optimized_CRS_DEP_TIME
2023-08-31,JetBlue Airways,1720,MIA,BOS,2038,2024
2023-08-31,United Air Lines Inc.,1924,SAN,DEN,1809,1625
2023-08-31,Southwest Airlines Co.,1420,BNA,LAS,2130,2201
2023-08-31,PSA Airlines Inc.,5298,DCA,BDL,1235,1732
2023-08-31,Allegiant Air,2260,AZA,HOU,1549,1517
2023-08-31,SkyWest Airlines Inc.,5411,DEN,ASE,1600,1627
2023-08-31,Southwest Airlines Co.,392,LAS,AMA,1200,1320
2023-08-31,American Airlines Inc.,2707,DFW,AUS,2045,2233
2023-08-31,Spirit Air Lines,616,FLL,BOS,2040,2137
2023-08-31,Endeavor Air Inc.,5339,PVD,LGA,1511,1453
2023-08-31,American Airlines Inc.,2655,DFW,PDX,855,900
2023-08-31,Spirit Air Lines,136,MCO,MYR,1619,1602
2023-08-31,JetBlue Airways,568,FLL,ATL,2020,2025
2023-08-31,JetBlue Airways,1802,FLL,JFK,2115,2019
2023-08-31,American Airlines Inc.,2439,SLC,DFW,1405,1354
2023-08-31,Southwest Airlines Co.,2093,CLE,BNA,2035,1941
2023-08-31,Endeavor Air Inc.,5350,AEX,ATL,1620,1824
2023-08-31,Southwest Airlines Co.,2561,SJC,SNA,1945,2014
2023-08-31,Spirit Air Lines,1786,ORD,LAX,1623,1620
2023-08-31,PSA Airlines Inc.,5383,MYR,CLT,905,1015
2023-08-31,Delta Air Lines Inc.,1682,MCO,BOS,1726,1825
2023-08-31,Spirit Air Lines,414,MKE,LAS,1754,1602
2023-08-31,JetBlue Airways,1248,TPA,LGA,1114,1021
2023-08-31,Southwest Airlines Co.,2903,BUF,MCO,1625,1610
2023-08-31,Allegiant Air,282,AZA,BLI,1858,1802
2023-08-31,Southwest Airlines Co.,2544,LAX,LAS,2115,2215
2023-08-31,American Airlines Inc.,2755,CLT,SAN,1838,1634
2023-08-31,United Air Lines Inc.,2363,DEN,SEA,1614,1453
2023-08-31,United Air Lines Inc.,1609,DFW,IAH,1748,1532
2023-08-31,United Air Lines Inc.,1634,IAH,DFW,720,831
2023-08-31,Delta Air Lines Inc.,1324,ATL,MIA,2308,2210
2023-08-31,Southwest Airlines Co.,2458,PHX,LGB,830,957
2023-08-31,Spirit Air Lines,1078,FLL,ATL,1825,1829
2023-08-31,JetBlue Airways,1861,LGA,RSW,1359,1329
2023-08-31,Alaska Airlines Inc.,1327,SFO,SEA,1955,1934
2023-08-31,Allegiant Air,181,SFB,ABE,1900,2007
2023-08-31,Southwest Airlines Co.,1057,SMF,GEG,2030,2056
2023-08-31,Southwest Airlines Co.,2936,MDW,SMF,950,1020
2023-08-31,United Air Lines Inc.,1698,ORD,PDX,1620,1629
2023-08-31,Southwest Airlines Co.,3397,PDX,LAS,2005,2204
2023-08-31,Alaska Airlines Inc.,340,SEA,MCO,755,814
2023-08-31,Frontier Airlines Inc.,4889,PSE,MCO,1424,1129
2023-08-31,Southwest Airlines Co.,268,OAK,SLC,1940,2013
2023-08-31,Southwest Airlines Co.,853,LAS,OKC,1815,1932
2023-08-31,SkyWest Airlines Inc.,4716,HDN,DEN,1520,1324
2023-08-31,Southwest Airlines Co.,2775,FLL,STL,1845,2050
2023-08-31,Delta Air Lines Inc.,1303,MSP,ATL,2020,2100
2023-08-31,Frontier Airlines Inc.,1352,ATL,MDW,2328,2148
2023-08-31,Hawaiian Airlines Inc.,465,HNL,PPG,1640,1601
